Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Kawasaki,brute force 750 4x4i eps camo,2020,Atv,NA,749,50,57.9,V2,Four-Stroke,Automatic,85,66,19,Single Overhead Cams (Sohc),Liquid,Shaft Drive,NA,1285,909,25/8-12,25/10-12,No
Kawasaki,concours 14 abs,2020,Sport Touring,3.7,1352,155,136,In-Line Four,Four-Stroke,6-Speed,84,61,21.95,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,NA,1519,815,120/70-ZR17,190/50-ZR17,No
Kawasaki,dominar 400,2020,Naked Bike,NA,373.3,36,35,Single Cylinder,Four-Stroke,6-Speed,NA,NA,13,NA,Liquid,Chain,NA,NA,NA,110/70-17,150/60-17,No
Kawasaki,j125,2020,Scooter,NA,125,NA,10.9,Single Cylinder,Four-Stroke,NA,54,54.5,13,Single Overhead Cams (Sohc),Liquid,NA,NA,1555,775,120/80-14,150/70-13,No
Kawasaki,j300,2020,Scooter,NA,299,27.2,28.4,Single Cylinder,Four-Stroke,NA,72.7,72,13,Single Overhead Cams (Sohc),Liquid,Belt,NA,1555,775,120/80-14M/C58S,150/70-13M/C64S,No
Kawasaki,kfx50,2020,Atv,NA,49.5,NA,NA,Single Cylinder,Four-Stroke,Automatic,39,41.4,5.5,NA,Air,Chain,NA,965,635,16/8-7,16/8-7,No
Kawasaki,kfx90,2020,Atv,NA,90,NA,NA,Single Cylinder,Four-Stroke,Automatic,47,51.8,5.5,Single Overhead Cams (Sohc),Air,Chain,NA,965,650,18/7-8,18/9-8,No
Kawasaki,klr 650,2020,Super Motard,NA,651,NA,NA,Single Cylinder,Four-Stroke,5-Speed,100,83,23.09,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1480,890,90/90-21,130/80-17,No
Kawasaki,klx 110l,2020,Enduro / Offroad,NA,112,NA,NA,Single Cylinder,Four-Stroke,4-Speed,53,50.6,3.6,Single Overhead Cams (Sohc),Air,Chain,NA,1075,730,2.50-14,3.00-12,No
Kawasaki,klx 140,2020,Enduro / Offroad,NA,144,NA,NA,Single Cylinder,Four-Stroke,5-Speed,58,54.4,5.8,Single Overhead Cams (Sohc),Air,Chain,NA,1260,780,70/100-17,90/100-14,No
Kawasaki,klx 140l,2020,Enduro / Offroad,NA,144,NA,NA,Single Cylinder,Four-Stroke,5-Speed,58,54.4,5.8,Single Overhead Cams (Sohc),Air,Chain,NA,1285,800,70/100-19,90/100-16,No
Kawasaki,klx 250,2020,Enduro / Offroad,3.3,249,21.5,20.5,Single Cylinder,Four-Stroke,6-Speed,72,61.2,7.7,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1430,890,3.00-21,4.60-18,No
Kawasaki,klx110,2020,Enduro / Offroad,NA,112,7.3,8,Single Cylinder,Four-Stroke,4-Speed,53,50.6,3.79,Single Overhead Cams (Sohc),Air,Chain,NA,1074,680,2.50-14,3.00-12,No
